OLM key,with Secondary Modifier,with Material tag,with Custom Tag,MROLM Group,MROLM Subgroup,MROLM local key,Notes,include on map,reason,low occurance group,OLM data needs fixes
sanitary/dental_floss,,,,Household,,Dental Waste,"used to capture single use flossers, and dental floss packaging or pieces, toothbrushes",yes,,no,
sanitary/ear_swabs,,,,Household,,Cotton Swabs,"used to capture ear swabs, qtips",yes,,yes,
sanitary/sanitary_pad,,,,Household,,Personal Hygiene Product,not used yet,yes,Not a significant data point,yes,
sanitary/tissue,,,,Household,,Hygiene Paper,"used to capture dry tissues, toilet paper they can be IDd when dry, but when wet or aged they cannot; rarely used most go to other/paper",yes,,no,
sanitary/wipes,,,,Household,,Wet Wipes,used to capture textile woven wipes they are called wet-wipes here and they are found in volume and easy to ID because of the mesh wove and the fact that they don't disintegrate when wet or aged.,yes,,no,
smoking/box,,,,,,smoking/box,not used; captured under smoking/packaging,no,Not a significant data point,no,
smoking/butts,,,,Smoking,,Cigarette Butts,used to capture butts and broken cigarette pieces or other nicotine smoking products like cigarillos; In OLM app you can only tag a max of 10 per one photo. these are usually found in a cluster which sometimes has to be spread between two photos.  the two photos will be in the same collection spot.,yes,,no,
smoking/lighters,,,,Smoking,,Butane Lighter,used for pieces or whole,yes,,no,
smoking/packaging,,,,Smoking,,Nicotine Packaging,"used for all nicotine product packaging including cigarette, cigar, vape foil, wrapper, box",yes,,no,
smoking/packaging,,,THC,Smoking,,Cannabis Packaging,"used for all cannabis product packaging including vape, flower, edibles, except drinks",yes,,no,
smoking/vape,,,,Smoking,,Nicotine Vape,"used for nicotine vape disposables, carts, piece fragments, battery",yes,,no,
smoking/vape,,,THC,Smoking,,Cannabis Vape,"used for cannabis vape disposables, carts, piece fragments, battery",yes,,no,
softdrinks/bottle,,,,Convenient Food Drink,Drink,Plastic or Glass Drink Bottle,used for plastic or glass drink containers,yes,,no,
softdrinks/bottle_cap,,,,Convenient Food Drink,Drink,Drink Bottle Cap,used to track piece of bottle which is the cap could be plastic or metal,yes,Not a significant data point,yes,
softdrinks/broken_glass,,,,Convenient Food Drink,Drink,Drink Broken Glass,used to track drink bottle broken glass,yes,,no,
softdrinks/can,,,,Convenient Food Drink,Drink,Aluminum Drink Cans,used for aluminum drink cans non-alcohol,yes,,no,
softdrinks/carton,,,,Convenient Food Drink,Drink,Drink Carton,haven't used this yet; used for tetra large carton beverage containers,yes,Not a significant data point,yes,
softdrinks/cup,,,,Convenient Food Drink,Drink,Cold Beverage Cup,used for cold beverage cups can be coated paper or plastic; see coffee/cup hot drink cups,yes,,no,
softdrinks/juice_pouch,,,,Convenient Food Drink,Drink,Drink Box Pouch,"used to capture tetra-pack drink boxes, juice boxes, capri style drink pouches",yes,,no,
softdrinks/lid,,,,Convenient Food Drink,Drink,Cold Beverage Lid,used for lids plastic for take out drink cups,yes,,no,
softdrinks/packaging,,,,Convenient Food Drink,Drink,Household or Take-out Drink Packaging,used for packaging related to household and convenience drink products non-liquor,yes,,no,
softdrinks/pull_ring,,,,Convenient Food Drink,Drink,Pull-tabs,used for aluminum can pull-tabs or other drink tabs,yes,,no,
softdrinks/straw,,,,Convenient Food Drink,Drink,Paper Drink Straws,used for straws paper that are for take out drinks hot and cold,yes,,no,
softdrinks/straw_wrapper,,,,Convenient Food Drink,Drink,Drink Straw Wrapper,used for straw wrappers paper that are for take out drink straws hot and cold,yes,,no,
vehicles/bicycle,,,,,,vehicles/bicycle,not used,no,out of scope,no,
vehicles/car_part,,,,Piece,,Motor Vehicle Part Piece,"used for detached car parts that appear to be abandoned or part of accident or damage incident aftermath; can be broken glass, kit pieces, anything from a motorized vehicle.  material not used as i cannot verify materials in the field.",yes,,no,
vehicles/other,,,,Piece,,Motor Vehicle Spill,"not used yet but I would put anything else from the vehicle here like oil spill, fluid spill, gas spill",yes,,no,
